financiamiento,tp_sexo,tp_area,inev,pes
Publico,Hombre,Urbana,7.54,680.0
Publico,Mujer,Urbana,8.99,875.0
Publico,Hombre,Urbana,6.04,530.0
Publico,Mujer,Urbana,6.98,630.0
Publico,Hombre,Urbana,7.52,670.0
Publico,Hombre,Urbana,7.4,655.0
Publico,Mujer,Urbana,7.64,685.0
Publico,Mujer,Urbana,6.95,615.0
Publico,Mujer,Urbana,7.01,610.0
Publico,Hombre,Urbana,6.88,605.0
Publico,Mujer,Urbana,7.49,660.0
Publico,Mujer,Urbana,6.9,600.0
Publico,Hombre,Urbana,6.41,565.0
Publico,Mujer,Urbana,6.52,575.0
Publico,Mujer,Urbana,6.44,565.0
Publico,Hombre,Urbana,6.73,595.0
Publico,Hombre,Urbana,9.75,960.0
Publico,Mujer,Urbana,6.97,600.0
Publico,Mujer,Urbana,8.36,785.0
Publico,Hombre,Urbana,6.04,535.0
Publico,Mujer,Urbana,7.4,655.0
Publico,Hombre,Urbana,7.66,680.0
Publico,Mujer,Urbana,7.65,680.0
Publico,Mujer,Urbana,6.95,610.0
Publico,Hombre,Urbana,6.52,585.0
Publico,Mujer,Urbana,6.61,585.0
Publico,Hombre,Urbana,6.66,575.0
Publico,Hombre,Urbana,6.69,595.0
Publico,Mujer,Urbana,6.06,535.0
Publico,Hombre,Urbana,6.47,565.0
Publico,Mujer,Urbana,7.66,685.0
Publico,Mujer,Urbana,7.31,665.0
Publico,Mujer,Urbana,6.64,585.0
Publico,Mujer,Urbana,8.16,745.0
Publico,Hombre,Urbana,6.84,595.0
Publico,Hombre,Urbana,7.58,670.0
Publico,Hombre,Urbana,7.27,635.0
Publico,Mujer,Urbana,7.62,680.0
Publico,Mujer,Urbana,6.28,560.0
Publico,Mujer,Urbana,7.32,640.0
Publico,Hombre,Urbana,7.88,710.0
Publico,Mujer,Urbana,7.09,625.0
Publico,Mujer,Urbana,8.51,785.0
Publico,Mujer,Urbana,7.25,630.0
Publico,Mujer,Urbana,7.61,680.0
Publico,Hombre,Urbana,7.16,630.0
Publico,Mujer,Urbana,6.26,555.0
Publico,Hombre,Urbana,8.55,810.0
Publico,Hombre,Urbana,7.65,685.0
Publico,Mujer,Urbana,7.06,615.0
Publico,Hombre,Urbana,6.84,605.0
Publico,Mujer,Urbana,6.53,575.0
Publico,Mujer,Urbana,7.09,625.0
Publico,Mujer,Urbana,7.36,660.0
Publico,Mujer,Urbana,6.82,605.0
Publico,Hombre,Urbana,6.5,580.0
Publico,Hombre,Urbana,6.96,610.0
Publico,Hombre,Urbana,8.31,775.0
Publico,Mujer,Urbana,7.4,645.0
Publico,Mujer,Urbana,7.46,660.0
Publico,Hombre,Urbana,7.24,635.0
Publico,Mujer,Urbana,6.79,615.0
Publico,Mujer,Urbana,6.98,600.0
Publico,Mujer,Urbana,7.68,680.0
Publico,Mujer,Urbana,6.6,590.0
Publico,Hombre,Urbana,7.82,710.0
Publico,Mujer,Urbana,8.56,795.0
Publico,Hombre,Urbana,7.82,710.0
Publico,Mujer,Urbana,7.77,710.0
Publico,Hombre,Urbana,8.48,780.0
Publico,Hombre,Urbana,7.26,640.0
Publico,Hombre,Urbana,7.13,625.0
Publico,Hombre,Urbana,8.79,835.0
Publico,Mujer,Urbana,7.62,685.0
Publico,Hombre,Urbana,7.5,665.0
Publico,Hombre,Urbana,6.64,575.0
Publico,Hombre,Urbana,7.21,640.0
Publico,Mujer,Urbana,6.33,565.0
Publico,Mujer,Urbana,7.41,670.0
Publico,Mujer,Urbana,7.36,645.0
Publico,Mujer,Urbana,6.83,595.0
Publico,Hombre,Urbana,9.89,980.0
Publico,Mujer,Urbana,7.43,655.0
Publico,Hombre,Urbana,7.16,620.0
Publico,Hombre,Urbana,7.54,670.0
Publico,Mujer,Urbana,7.43,655.0
Publico,Mujer,Urbana,9.69,955.0
Publico,Hombre,Urbana,7.73,700.0
Publico,Mujer,Urbana,9.68,955.0
Publico,Mujer,Urbana,6.86,610.0
Publico,Mujer,Urbana,7.4,650.0
Publico,Hombre,Urbana,9.67,955.0
Publico,Hombre,Urbana,7.78,700.0
Publico,Mujer,Urbana,6.92,620.0
Publico,Hombre,Urbana,6.56,575.0
Publico,Hombre,Urbana,6.72,600.0
Publico,Mujer,Urbana,6.48,575.0
Publico,Hombre,Urbana,6.81,595.0
Publico,Hombre,Urbana,7.43,655.0
Publico,Mujer,Urbana,7.46,675.0
Publico,Mujer,Urbana,9.72,960.0
Publico,Hombre,Urbana,6.3,555.0
Publico,Mujer,Urbana,9.61,950.0
Publico,Hombre,Urbana,9.73,960.0
Publico,Hombre,Urbana,7.84,705.0
Publico,Hombre,Urbana,7.1,625.0
Publico,Hombre,Urbana,7.4,650.0
Publico,Hombre,Urbana,7.42,665.0
Publico,Mujer,Urbana,9.91,985.0
Publico,Hombre,Urbana,6.76,585.0
Publico,Hombre,Urbana,7.25,645.0
Publico,Hombre,Urbana,6.36,560.0
Publico,Hombre,Urbana,6.67,595.0
Publico,Hombre,Urbana,7.65,685.0
Publico,Hombre,Urbana,6.74,590.0
Publico,Hombre,Urbana,6.92,600.0
Publico,Hombre,Urbana,7.65,690.0
